"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,375,0,0,0,42,0,0,0,0,0,0,417
AL,"2,132",216,"1,742",64,255,0,585,"1,384",620,"1,247",27,"8,272"
AR,117,80,287,180,0,0,99,27,196,449,0,"1,435"
AZ,"3,217",90,551,177,0,0,36,60,491,290,48,"4,960"
CA,"24,167","1,580","2,441","19,505","7,378",0,"3,936","7,791","3,540","42,031","1,314","113,683"
CO,"1,209",275,544,"4,036","1,106",0,92,242,727,490,782,"9,503"
CT,"2,014",18,483,500,673,0,342,0,638,669,2,"5,339"
DC,146,52,18,539,140,0,316,0,653,305,9,"2,178"
DE,146,266,357,"1,609",677,0,0,340,25,"13,365",24,"16,809"
FL,"2,886",463,936,329,832,0,567,718,"1,272",777,250,"9,030"
GA,"8,059",665,"1,770",914,"11,194",0,"3,021","1,086","1,457","4,423",247,"32,836"
HI,146,1,0,0,0,0,0,0,71,14,0,232
IA,"1,236","1,186","2,314","4,625","37,019",0,54,"1,516","4,011","3,523",570,"56,054"
ID,44,12,17,48,0,0,0,57,1,36,146,361
IL,"3,624","1,010","2,858","2,260","2,626",0,683,"1,074","1,778","5,074",643,"21,630"
IN,"6,722",217,"1,104",791,"2,159",0,160,229,708,"1,302",105,"13,497"
KS,"2,091",547,"1,354",789,492,0,304,251,112,534,110,"6,584"
KY,77,125,219,188,507,0,112,103,167,601,48,"2,147"
LA,"1,113",233,474,2,229,0,"3,105",70,280,606,32,"6,144"
MA,"5,197",115,"2,963","15,623","7,315",0,"6,453","1,750","4,966","13,215",841,"58,438"
MD,"10,460",68,506,"17,093","5,416",0,"7,056",660,"1,816","5,281",464,"48,820"
ME,930,0,0,0,0,0,0,396,23,180,1,"1,530"
MI,"5,072",602,"6,354","15,710",775,0,"4,149",439,"3,054","7,300",677,"44,132"
MN,"2,360","1,937","3,269","17,924",557,0,242,"1,322","4,751","6,401","1,260","40,023"
MO,970,"1,643","2,433","3,977","8,263",0,179,472,"2,183","2,402",152,"22,674"
MS,163,5,60,68,71,0,88,77,180,"1,240",0,"1,952"
MT,148,4,0,60,399,0,5,118,0,371,49,"1,154"
NC,"5,403","1,164","1,771","7,951",735,0,"1,848",882,"2,871","3,208",242,"26,075"
ND,164,152,24,3,4,0,0,112,20,"1,159",134,"1,772"
NE,"1,040",272,728,277,"4,524",0,99,126,231,383,10,"7,690"
NH,22,5,0,1,530,0,13,0,300,1,2,874
NJ,"3,483",213,"6,205","23,332","8,523",0,"4,702",22,"1,020","11,824",28,"59,352"
NM,579,58,364,185,30,0,506,0,0,298,0,"2,020"
NV,740,11,395,84,0,0,0,0,3,77,117,"1,427"
NY,"8,881","1,904","4,509","10,395","30,962",0,"1,398",828,"1,605","10,284",151,"70,917"
OH,"10,374","1,381","5,302","18,975","2,210",0,"2,839",428,"3,682","10,201",179,"55,571"
OK,640,122,620,545,75,0,99,108,36,369,58,"2,672"
OR,681,231,394,956,30,0,"2,543",339,565,236,251,"6,226"
PA,"2,568","1,501","4,750","12,944","1,596",0,"3,866","1,423","2,308","46,390","1,148","78,494"
PR,78,0,0,0,166,0,"3,581",0,34,10,0,"3,869"
RI,900,0,0,71,192,0,28,63,222,357,122,"1,955"
SC,"1,871",240,350,424,59,0,23,52,334,316,3,"3,672"
SD,114,16,12,6,41,0,7,600,137,25,130,"1,088"
TN,"2,751",255,566,175,"1,030",0,275,215,"1,149",476,0,"6,892"
TX,"11,503",398,972,"11,706","2,844",0,"4,581","3,255","2,538","16,439",887,"55,123"
UT,"2,292",213,539,"1,836","5,845",0,87,42,216,"1,158",238,"12,466"
VA,"2,416",58,217,144,879,0,172,126,"5,475",681,51,"10,219"
VT,280,9,11,538,75,0,0,10,0,27,"1,711","2,661"
WA,"1,157",263,887,"4,187",334,0,"3,364",162,474,"1,579",6,"12,413"
WI,"2,521",234,"5,655","1,322","1,216",0,"8,824",644,"1,024","4,218",195,"25,853"
WV,7,50,12,30,26,0,5,0,2,318,54,504
WY,92,0,0,0,0,0,0,1,0,7,33,133
"REPORTTOTAL","145,378","20,160","67,337","203,098","150,051",0,"70,444","29,620","57,966","222,167","13,551","979,772"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,289,0,0,0,22,0,0,0,0,0,0,311
AL,85,139,102,0,0,0,0,574,4,279,26,"1,209"
AR,0,55,36,12,1,0,56,0,0,0,0,160
AZ,97,5,13,7,0,0,10,1,2,2,7,144
CA,"2,930",133,179,432,124,0,"5,704","3,830",41,"4,559",71,"18,003"
CO,723,76,28,51,17,0,0,0,0,11,4,910
CT,"1,065",8,16,42,15,0,25,5,1,88,0,"1,265"
DC,342,24,0,0,0,0,98,0,0,0,0,464
DE,0,0,0,5,0,0,0,51,0,"3,894",0,"3,950"
FL,557,28,1,0,49,0,"1,550",0,0,1,0,"2,186"
GA,314,7,0,0,"1,456",0,"1,769",0,0,0,0,"3,546"
HI,0,0,0,0,0,0,0,0,6,0,0,6
IA,414,34,445,57,93,0,3,112,"1,174",67,92,"2,491"
ID,118,2,0,0,0,0,0,0,0,0,0,120
IL,644,105,299,49,3,0,132,49,25,202,59,"1,567"
IN,249,175,383,0,57,0,127,0,352,6,0,"1,349"
KS,1,84,223,12,83,0,49,12,0,8,0,472
KY,29,0,2,0,0,0,0,198,60,0,75,364
LA,361,9,17,0,0,0,"9,729",51,2,2,0,"10,171"
MA,770,10,46,69,856,0,"6,392","1,776",215,"1,484",17,"11,635"
MD,"8,618",6,20,433,"2,327",0,"6,658",50,2,240,19,"18,373"
ME,23,0,0,0,0,0,0,28,0,91,0,142
MI,158,57,967,"2,674",16,0,"1,032",0,291,557,4,"5,756"
MN,8,8,101,"1,152",52,0,20,67,763,103,116,"2,390"
MO,72,233,283,49,0,0,12,24,125,0,3,801
MS,8,0,16,0,15,0,2,0,11,0,0,52
MT,0,0,0,0,0,0,0,0,0,0,32,32
NC,482,61,74,135,25,0,17,0,47,138,4,983
ND,0,0,0,0,0,0,0,0,0,0,48,48
NE,30,19,15,0,317,0,0,0,26,27,0,434
NH,0,0,0,0,0,0,0,0,78,0,0,78
NJ,137,81,545,841,622,0,"5,717",7,29,448,0,"8,427"
NM,483,10,25,36,75,0,57,0,0,16,0,702
NV,0,0,0,0,0,0,0,0,0,0,4,4
NY,497,10,84,80,686,0,181,40,5,181,0,"1,764"
OH,"2,845",179,214,"1,878",193,0,469,26,90,304,3,"6,201"
OK,50,0,10,0,0,0,434,4,6,5,0,509
OR,263,0,0,0,0,0,6,0,18,0,0,287
PA,"3,058",98,183,599,266,0,607,209,3,"2,227",331,"7,581"
PR,0,0,0,0,0,0,"1,223",0,0,0,0,"1,223"
RI,68,0,0,3,8,0,1,11,11,1,51,154
SC,"5,039",0,0,0,23,0,"3,845",0,0,0,1,"8,908"
SD,15,0,0,0,0,0,0,179,0,0,0,194
TN,244,13,0,4,454,0,0,2,0,0,0,717
TX,"3,370",0,198,400,897,0,"2,743",656,183,"2,171",104,"10,722"
UT,5,0,0,0,0,0,0,0,27,0,0,32
VA,361,2,7,8,18,0,31,7,166,57,12,669
VT,0,1,0,0,0,0,0,0,0,0,0,1
WA,475,0,70,87,20,0,"3,350",66,3,"1,473",12,"5,556"
WI,"1,512",8,"3,923",96,126,0,"1,892",179,312,252,17,"8,317"
WV,0,0,0,0,0,0,0,0,0,0,0,0
WY,49,0,0,0,0,0,0,0,0,0,5,54
"REPORTTOTAL","36,858","1,680","8,525","9,211","8,916",0,"53,941","8,214","4,078","18,894","1,117","151,434"
"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
AK,68,0,0,0,42,0,0,0,0,0,0,110
AL,"1,516",89,882,32,106,0,337,"1,168",173,236,27,"4,566"
AR,113,79,281,37,0,0,80,3,67,105,0,765
AZ,"3,140",39,281,132,0,0,16,20,2,25,0,"3,655"
CA,"19,064",994,"1,171","14,386","1,990",0,463,"7,499",130,"29,723",265,"75,685"
CO,754,206,330,"2,109",473,0,1,121,40,110,4,"4,148"
CT,"1,882",0,94,110,602,0,173,0,6,468,0,"3,335"
DC,27,4,8,73,68,0,164,0,0,73,0,417
DE,6,251,280,248,0,0,0,327,0,"10,929",24,"12,065"
FL,"2,149",142,586,106,74,0,110,670,20,52,46,"3,955"
GA,"4,979",489,"1,302",179,"5,228",0,941,"1,018",614,"1,716",170,"16,636"
HI,6,1,0,0,0,0,0,0,71,14,0,92
IA,947,656,"1,110","3,620","23,330",0,20,"1,392","3,527",300,344,"35,246"
ID,0,5,6,0,0,0,0,51,1,2,136,201
IL,"2,586",484,"1,349","1,237",134,0,111,756,833,"2,299",178,"9,967"
IN,"5,888",98,438,23,1,0,160,79,19,237,4,"6,947"
KS,"2,014",528,"1,066",270,208,0,212,182,11,241,110,"4,842"
KY,0,92,26,149,71,0,0,15,0,47,0,400
LA,246,15,15,2,0,0,"1,403",44,0,39,0,"1,764"
MA,"3,516",17,"1,916","9,598","3,929",0,"4,737","1,628","2,256","7,151",380,"35,128"
MD,"6,900",7,142,"3,041","1,567",0,"3,585",123,25,"3,305",29,"18,724"
ME,908,0,0,0,0,0,0,396,0,180,1,"1,485"
MI,"4,772",525,"4,866","7,086",492,0,"3,727",419,"1,461","5,152",229,"28,729"
MN,"1,773","1,092","1,255","2,502",195,0,23,"1,165","1,852",749,588,"11,194"
MO,470,"1,425","1,559","2,227","1,638",0,56,426,703,94,120,"8,718"
MS,157,0,2,0,5,0,36,44,43,73,0,360
MT,61,4,0,0,0,0,0,88,0,308,30,491
NC,287,321,808,"6,676",2,0,179,134,200,"2,068",17,"10,692"
ND,164,0,0,3,4,0,0,112,0,73,134,490
NE,650,200,483,177,"2,298",0,0,36,129,9,10,"3,992"
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,"1,020",171,"4,349","13,037","4,743",0,"3,100",22,341,"6,121",0,"32,904"
NM,118,58,234,5,30,0,24,0,0,4,0,473
NV,650,11,10,84,0,0,0,0,0,77,57,889
NY,"6,960","1,209","2,890","5,995","23,479",0,963,371,260,"2,567",8,"44,702"
OH,"6,358",736,"3,688","15,696",817,0,"1,812",129,409,"6,461",27,"36,133"
OK,380,87,238,463,4,0,10,16,9,208,58,"1,473"
OR,516,62,146,0,0,0,"1,086",165,18,14,26,"2,033"
PA,"1,530",839,"3,150","8,285","1,082",0,"2,572","1,256",122,"34,860",616,"54,312"
