Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
233.0,474,2,229,0.0,"3,105",70,280,606,32,6144,LA,,2009,2009-01-01
115.0,2963,15623,7315,0.0,"6,453",1750,4966,13215,841,58438,MA,,2009,2009-01-01
68.0,506,17093,5416,0.0,"7,056",660,1816,5281,464,48820,MD,,2009,2009-01-01
0.0,0,0,0,0.0,0,396,23,180,1,1530,ME,,2009,2009-01-01
602.0,6354,15710,775,0.0,"4,149",439,3054,7300,677,44132,MI,,2009,2009-01-01
1937.0,3269,17924,557,0.0,242,1322,4751,6401,1260,40023,MN,,2009,2009-01-01
1643.0,2433,3977,8263,0.0,179,472,2183,2402,152,22674,MO,,2009,2009-01-01
5.0,60,68,71,0.0,88,77,180,1240,0,1952,MS,,2009,2009-01-01
4.0,0,60,399,0.0,5,118,0,371,49,1154,MT,,2009,2009-01-01
1164.0,1771,7951,735,0.0,"1,848",882,2871,3208,242,26075,NC,,2009,2009-01-01
152.0,24,3,4,0.0,0,112,20,1159,134,1772,ND,,2009,2009-01-01
272.0,728,277,4524,0.0,99,126,231,383,10,7690,NE,,2009,2009-01-01
5.0,0,1,530,0.0,13,0,300,1,2,874,NH,,2009,2009-01-01
213.0,6205,23332,8523,0.0,"4,702",22,1020,11824,28,59352,NJ,,2009,2009-01-01
58.0,364,185,30,0.0,506,0,0,298,0,2020,NM,,2009,2009-01-01
11.0,395,84,0,0.0,0,0,3,77,117,1427,NV,,2009,2009-01-01
1904.0,4509,10395,30962,0.0,"1,398",828,1605,10284,151,70917,NY,,2009,2009-01-01
1381.0,5302,18975,2210,0.0,"2,839",428,3682,10201,179,55571,OH,,2009,2009-01-01
122.0,620,545,75,0.0,99,108,36,369,58,2672,OK,,2009,2009-01-01
231.0,394,956,30,0.0,"2,543",339,565,236,251,6226,OR,,2009,2009-01-01
1501.0,4750,12944,1596,0.0,"3,866",1423,2308,46390,1148,78494,PA,,2009,2009-01-01
0.0,0,0,166,0.0,"3,581",0,34,10,0,3869,PR,,2009,2009-01-01
0.0,0,71,192,0.0,28,63,222,357,122,1955,RI,,2009,2009-01-01
240.0,350,424,59,0.0,23,52,334,316,3,3672,SC,,2009,2009-01-01
16.0,12,6,41,0.0,7,600,137,25,130,1088,SD,,2009,2009-01-01
255.0,566,175,1030,0.0,275,215,1149,476,0,6892,TN,,2009,2009-01-01
398.0,972,11706,2844,0.0,"4,581",3255,2538,16439,887,55123,TX,,2009,2009-01-01
213.0,539,1836,5845,0.0,87,42,216,1158,238,12466,UT,,2009,2009-01-01
58.0,217,144,879,0.0,172,126,5475,681,51,10219,VA,,2009,2009-01-01
9.0,11,538,75,0.0,0,10,0,27,1711,2661,VT,,2009,2009-01-01
263.0,887,4187,334,0.0,"3,364",162,474,1579,6,12413,WA,,2009,2009-01-01
234.0,5655,1322,1216,0.0,"8,824",644,1024,4218,195,25853,WI,,2009,2009-01-01
50.0,12,30,26,0.0,5,0,2,318,54,504,WV,,2009,2009-01-01
0.0,0,0,0,0.0,0,1,0,7,33,133,WY,,2009,2009-01-01
0.0,0,0,54,,0,0,0,0,0,406,AK,,2011,2011-01-01
295.0,1438,175,0,,438,296,525,1278,71,6447,AL,,2011,2011-01-01
85.0,393,162,0,,124,308,589,814,0,2556,AR,,2011,2011-01-01
67.0,620,127,0,,45,34,410,197,65,6003,AZ,,2011,2011-01-01
1091.0,2393,12793,4068,,"3,913",12549,4469,34661,1609,112676,CA,,2011,2011-01-01
258.0,686,3549,821,,0,328,819,661,543,9652,CO,,2011,2011-01-01
0.0,334,185,769,,515,1,336,679,23,3568,CT,,2011,2011-01-01
23.0,9,893,527,,196,0,408,457,0,9942,DC,,2011,2011-01-01
0.0,42,144,0,,0,354,47,10662,22,11363,DE,,2011,2011-01-01
604.0,1132,318,429,,846,254,1604,595,191,8165,FL,,2011,2011-01-01
703.0,1565,793,10861,,"2,763",273,925,3410,113,25817,GA,,2011,2011-01-01
0.0,0,0,0,,0,0,80,0,0,86,HI,,2011,2011-01-01
561.0,1253,1929,19670,,20,1181,1730,2379,541,30289,IA,,2011,2011-01-01
75.0,113,13,0,,0,238,2,35,100,661,ID,,2011,2011-01-01
1299.0,3523,2145,2519,,807,335,1575,3360,247,19150,IL,,2011,2011-01-01
396.0,1108,354,708,,152,161,903,1451,216,7270,IN,,2011,2011-01-01
722.0,1521,861,14,,239,188,250,212,80,6094,KS,,2011,2011-01-01
143.0,283,31,278,,90,85,265,104,20,1620,KY,,2011,2011-01-01
180.0,505,12,129,,"3,510",82,137,253,31,6073,LA,,2011,2011-01-01
95.0,1204,20199,6059,,"6,818",719,5389,15146,415,63044,MA,,2011,2011-01-01
27.0,696,15656,5107,,"7,677",379,2059,3685,508,42347,MD,,2011,2011-01-01
0.0,0,0,0,,0,355,16,166,1,2195,ME,,2011,2011-01-01
399.0,4781,19951,1211,,"2,638",629,1334,5740,962,41893,MI,,2011,2011-01-01
3145.0,4263,24715,475,,174,1990,3979,8002,1450,49583,MN,,2011,2011-01-01
2064.0,2476,5546,31062,,154,468,2070,4255,129,51225,MO,,2011,2011-01-01
28.0,121,429,34,,65,41,157,809,26,1776,MS,,2011,2011-01-01
0.0,0,66,664,,4,95,0,198,3,1156,MT,,2011,2011-01-01
1054.0,2813,7634,1465,,"1,845",4972,1982,3074,175,26020,NC,,2011,2011-01-01
57.0,55,1,4,,0,180,59,342,82,1073,ND,,2011,2011-01-01
90.0,136,95,883,,116,104,167,171,10,2856,NE,,2011,2011-01-01
0.0,1,0,666,,6,0,158,40,0,987,NH,,2011,2011-01-01
463.0,5477,18026,9570,,"4,752",1,856,10010,60,49509,NJ,,2011,2011-01-01
58.0,417,346,64,,"1,010",0,0,477,0,2763,NM,,2011,2011-01-01
33.0,472,82,0,,0,509,115,15,165,2385,NV,,2011,2011-01-01
1519.0,3852,12521,34474,,"1,850",566,1472,7968,364,73200,NY,,2011,2011-01-01
1718.0,5148,28146,2250,,"1,752",120,3550,13576,153,60809,OH,,2011,2011-01-01
64.0,836,454,8,,138,750,231,595,58,5101,OK,,2011,2011-01-01
114.0,408,880,132,,"2,826",513,336,419,335,8046,OR,,2011,2011-01-01
