Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
82.0,85,55,0,,0,455,0,6888,31,8714,DE,,2014,2014-01-01
339.0,881,437,176,,"1,642",193,1465,219,159,9247,FL,,2014,2014-01-01
460.0,1593,988,12375,,"2,004",85,824,4157,110,25516,GA,,2014,2014-01-01
64.0,113,0,0,,0,0,47,0,0,229,HI,,2014,2014-01-01
391.0,857,1387,17293,,17,311,1492,1910,394,24606,IA,,2014,2014-01-01
57.0,63,0,0,,0,71,2,19,55,486,ID,,2014,2014-01-01
1164.0,3284,2247,1976,,815,734,1880,2153,333,17712,IL,,2014,2014-01-01
311.0,1117,240,66,,472,100,447,659,487,9122,IN,,2014,2014-01-01
769.0,1423,661,162,,196,306,203,191,16,5134,KS,,2014,2014-01-01
159.0,311,56,101,,83,129,240,192,7,1812,KY,,2014,2014-01-01
162.0,585,13,0,,"2,497",295,57,333,6,4004,LA,,2014,2014-01-01
70.0,1663,20002,4992,,"6,615",670,3130,11274,303,54226,MA,,2014,2014-01-01
9.0,495,10431,4561,,"8,861",12,1796,4312,117,37783,MD,,2014,2014-01-01
188.0,70,0,0,,0,396,11,111,3,1291,ME,,2014,2014-01-01
331.0,4694,15072,489,,"4,027",434,1394,8036,434,37087,MI,,2014,2014-01-01
2908.0,3350,26843,597,,167,1415,2232,6096,540,45713,MN,,2014,2014-01-01
1616.0,2784,10599,20466,,122,199,2054,3407,102,43231,MO,,2014,2014-01-01
21.0,67,100,0,,91,80,359,208,4,1324,MS,,2014,2014-01-01
0.0,0,0,262,,0,0,0,1,32,346,MT,,2014,2014-01-01
1125.0,1902,8156,879,,316,4725,1793,3231,111,26139,NC,,2014,2014-01-01
219.0,165,2,2,,0,215,19,64,162,928,ND,,2014,2014-01-01
60.0,94,18,487,,87,70,179,159,6,3160,NE,,2014,2014-01-01
0.0,5,0,333,,5,97,11,45,6,637,NH,,2014,2014-01-01
484.0,5035,11849,38139,,"3,106",0,1367,8161,16,71017,NJ,,2014,2014-01-01
140.0,587,164,66,,747,19,121,36,0,2109,NM,,2014,2014-01-01
194.0,461,0,71,,0,327,107,15,6,3624,NV,,2014,2014-01-01
592.0,1618,2328,2312,,589,562,1037,1343,409,16418,NY,,2014,2014-01-01
1929.0,5252,33238,755,,"2,555",196,2684,11121,146,85763,OH,,2014,2014-01-01
658.0,562,1742,12,,99,508,211,515,59,6394,OK,,2014,2014-01-01
44.0,72,209,12,,"2,315",307,202,321,248,7772,OR,,2014,2014-01-01
1203.0,2131,1919,807,,"1,429",925,924,15517,730,29822,PA,,2014,2014-01-01
0.0,0,0,0,,0,0,0,0,0,0,PR,,2014,2014-01-01
36.0,50,0,240,,37,52,147,665,0,1953,RI,,2014,2014-01-01
221.0,340,204,59,,327,27,274,125,22,3759,SC,,2014,2014-01-01
12.0,14,30,32,,3,68,12,17,73,1040,SD,,2014,2014-01-01
149.0,582,60,331,,176,90,1053,164,2,5159,TN,,2014,2014-01-01
535.0,1576,2325,3332,,"3,245",2846,3314,9214,449,37166,TX,,2014,2014-01-01
465.0,743,95,1450,,3,149,287,1091,229,6007,UT,,2014,2014-01-01
89.0,188,596,232,,72,116,2531,317,136,5319,VA,,2014,2014-01-01
5.0,10,143,0,,0,90,30,8,1601,2432,VT,,2014,2014-01-01
135.0,698,2968,369,,"3,138",302,929,1557,26,28715,WA,,2014,2014-01-01
516.0,4894,3146,2032,,"7,257",334,1056,17999,284,43104,WI,,2014,2014-01-01
53.0,42,5,8,,0,0,5,72,124,309,WV,,2014,2014-01-01
28.0,50,4,22,,0,155,6,2,163,534,WY,,2014,2014-01-01
261.0,1285,246,0,,346,892,469,955,54,5150,AL,,2015,2015-01-01
147.0,721,24,53,,154,66,691,1053,0,2950,AR,,2015,2015-01-01
570.0,1638,90,184,,42,316,402,207,174,7332,AZ,,2015,2015-01-01
2496.0,6199,8697,2527,,"3,703",7729,6610,25151,1153,76050,CA,,2015,2015-01-01
507.0,875,2851,1497,,1,448,759,1175,303,10151,CO,,2015,2015-01-01
1.0,264,155,815,,338,0,173,69,1,2874,CT,,2015,2015-01-01
9.0,36,474,447,,151,0,301,292,0,13919,DC,,2015,2015-01-01
86.0,97,17,0,,0,473,0,6722,19,7796,DE,,2015,2015-01-01
337.0,809,478,199,,"1,241",490,1092,284,141,7888,FL,,2015,2015-01-01
718.0,2096,1121,4750,,"2,408",68,840,4748,89,20101,GA,,2015,2015-01-01
87.0,188,0,42,,0,0,20,8,35,385,HI,,2015,2015-01-01
324.0,711,472,7610,,8,414,1220,1161,443,12952,IA,,2015,2015-01-01
73.0,104,16,0,,0,96,2,42,0,537,ID,,2015,2015-01-01
812.0,3304,2507,1910,,877,626,1525,2298,504,18368,IL,,2015,2015-01-01
345.0,894,388,5021,,334,190,289,1148,392,13811,IN,,2015,2015-01-01
716.0,1592,723,84,,162,592,1191,455,21,5725,KS,,2015,2015-01-01
187.0,341,32,68,,115,306,213,201,41,2146,KY,,2015,2015-01-01
182.0,604,42,11,,"1,793",265,122,196,6,3285,LA,,2015,2015-01-01
62.0,1778,20079,5249,,"7,270",169,5772,10071,453,55231,MA,,2015,2015-01-01
58.0,1002,9587,3522,,"8,221",349,1724,3993,202,42159,MD,,2015,2015-01-01
408.0,55,0,0,,0,398,20,105,2,1347,ME,,2015,2015-01-01
474.0,5632,19846,154,,"3,699",689,2100,7330,558,42332,MI,,2015,2015-01-01
2288.0,2538,26924,604,,114,588,2314,5417,521,41707,MN,,2015,2015-01-01
1585.0,2366,9354,15881,,96,105,2110,3810,77,37744,MO,,2015,2015-01-01
17.0,54,22,7,,92,80,304,145,4,967,MS,,2015,2015-01-01
2.0,0,0,110,,14,60,0,1,0,223,MT,,2015,2015-01-01
1127.0,2026,8796,876,,"1,127",5109,1796,4124,193,30200,NC,,2015,2015-01-01
305.0,301,7,0,,0,312,43,10,89,1067,ND,,2015,2015-01-01
65.0,150,23,551,,94,51,288,112,0,2395,NE,,2015,2015-01-01
0.0,2,0,152,,2,47,2,18,3,357,NH,,2015,2015-01-01
504.0,5672,42197,34512,,"3,745",154,830,11438,7,102142,NJ,,2015,2015-01-01
10.0,275,172,83,,461,0,74,5,0,1767,NM,,2015,2015-01-01
53.0,427,24,0,,0,222,92,6,2,905,NV,,2015,2015-01-01
538.0,1586,2251,2259,,"1,767",528,1189,2247,322,22115,NY,,2015,2015-01-01
1313.0,4495,1064,549,,"1,198",256,1929,3564,131,17639,OH,,2015,2015-01-01
101.0,407,2342,8,,145,613,20,476,91,4729,OK,,2015,2015-01-01
34.0,51,309,14,,"2,383",230,123,310,270,4927,OR,,2015,2015-01-01
1180.0,1880,1796,954,,"1,291",857,720,13277,792,25275,PA,,2015,2015-01-01
0.0,0,0,0,,"2,755",0,21,18,0,2794,PR,,2015,2015-01-01
50.0,51,0,101,,38,64,159,334,0,885,RI,,2015,2015-01-01
169.0,227,159,2,,427,80,222,87,20,3955,SC,,2015,2015-01-01
11.0,8,29,3,,0,68,110,11,70,1214,SD,,2015,2015-01-01
296.0,643,168,403,,186,184,1255,156,3,4604,TN,,2015,2015-01-01
456.0,1207,2727,3074,,"4,389",2519,2981,7891,396,36814,TX,,2015,2015-01-01
274.0,634,71,1577,,40,315,123,1011,243,4457,UT,,2015,2015-01-01
66.0,217,476,151,,76,146,2542,415,151,10215,VA,,2015,2015-01-01
0.0,0,27,0,,0,0,0,0,1943,2018,VT,,2015,2015-01-01
158.0,721,3663,541,,"3,345",314,627,796,302,16531,WA,,2015,2015-01-01
404.0,4833,2410,1854,,"7,302",257,1063,14972,285,35420,WI,,2015,2015-01-01
43.0,62,4,6,,0,20,2,29,92,1522,WV,,2015,2015-01-01
23.0,43,4,5,,0,21,3,4,80,346,WY,,2015,2015-01-01
