"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,124,0,0,0,0,0,0,0,0,0,124,
AL,92,100,180,7,0,0,390,216,26,361,"1,372",
AR,1,11,17,17,0,48,0,0,0,0,94,
AZ,0,1,7,0,0,9,18,0,3,0,38,
CA,"3,737",714,213,426,95,"3,374",50,"4,483",115,"3,005","16,212",
CO,349,20,56,52,19,0,5,12,10,0,523,
CT,385,0,54,7,2,40,4,2,0,0,494,
DC,555,29,0,0,0,379,0,2,0,11,976,
DE,0,0,0,10,0,0,0,"4,233",12,74,"4,329",
FL,"1,273",27,5,0,19,"7,375",12,8,4,98,"8,821",
GA,"1,407",13,9,4,"1,470","1,436",42,26,11,0,"4,418",
HI,0,0,0,0,0,0,0,0,0,0,0,
IA,372,0,53,334,36,0,"3,074",20,0,6,"3,895",
ID,25,0,1,0,0,0,0,0,0,41,67,
IL,789,0,152,67,5,85,11,173,10,35,"1,327",
IN,148,237,369,3,237,68,155,15,0,0,"1,232",
KS,16,136,164,103,1,4,0,4,0,0,428,
KY,97,32,0,4,16,0,115,2,52,149,467,
LA,41,24,0,0,0,"10,415",0,5,0,124,"10,609",
MA,"1,208",1,163,740,750,"2,465",173,"2,401",28,646,"8,575",
MD,"21,074",0,202,858,"2,589","5,324",12,25,13,41,"30,138",
ME,54,0,0,0,0,0,0,64,0,34,152,
MI,738,76,265,"12,209",16,357,8,7,33,11,"13,720",
MN,51,3,61,"1,010",90,16,254,154,131,225,"1,995",
MO,0,175,161,53,5,8,135,67,13,0,617,
MS,58,5,0,0,0,4,12,10,0,22,111,
MT,0,0,0,0,507,0,0,0,42,0,549,
NC,223,34,231,296,0,50,28,24,2,0,888,
ND,0,0,0,0,0,0,0,0,90,0,90,
NE,14,0,1,0,202,0,0,0,0,0,217,
NH,0,0,0,0,0,0,0,0,0,0,0,
NJ,3,45,883,134,767,"1,219",6,456,0,0,"3,513",
NM,151,0,78,0,144,215,0,1,0,0,589,
NV,0,0,0,4,0,0,0,0,0,0,4,
NY,584,6,53,262,631,80,25,451,10,47,"2,149",
OH,573,104,187,"1,005",72,146,68,553,8,2,"2,718",
OK,236,0,29,0,0,506,0,1,25,4,801,
OR,144,0,0,0,0,"1,211",6,0,0,184,"1,545",
PA,"1,056",95,161,335,717,66,65,"1,129",295,281,"4,200",
PR,0,0,0,0,0,0,0,0,0,0,0,
RI,83,0,0,0,100,2,5,36,0,0,226,
SC,"5,969",3,4,2,32,0,0,1,0,0,"6,011",
SD,0,0,0,0,0,2,0,0,178,130,310,
TN,204,26,7,0,937,0,0,0,3,2,"1,179",
TX,"10,546",38,47,114,259,"3,592",278,"1,920",105,405,"17,304",
UT,0,0,0,0,0,0,0,0,6,0,6,
VA,395,4,8,2,44,3,131,23,0,0,610,
VT,0,0,0,0,0,0,0,0,0,0,0,
WA,389,0,29,72,8,"2,325",4,751,2,11,"3,591",
WI,"1,079",7,"3,913",51,28,"1,778",128,"1,436",38,231,"8,689",
WV,0,0,0,0,0,0,0,0,0,0,0,
WY,83,0,0,0,0,0,0,0,168,4,255,
"REPORTTOTAL","54,326","1,966","7,763","18,181","9,798","42,602","5,214","18,711","1,433","6,184","166,178",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,103,0,0,0,42,0,0,0,0,0,145,
AL,870,23,618,108,24,141,302,152,13,446,"2,697",
AR,3,118,356,38,1,74,33,860,0,1,"1,484",
AZ,"3,543",39,65,31,14,4,0,78,2,29,"3,805",
CA,"16,990",596,"1,326","8,292","1,186",392,450,"20,124",309,"11,361","61,026",
CO,792,125,502,"1,355",541,0,1,103,2,138,"3,559",
CT,365,0,94,109,644,181,2,586,0,0,"1,981",
DC,"1,058",4,0,24,370,136,0,0,0,0,"1,592",
