"","All OtherCoveredSpecie",Cats,Dogs,Guinea Pigs,Hamsters,"MarineMammals","NonhumanPrimates","Other FarmAnimals",Pig,Rabbits,Sheep,Total
RI,135,0,0,0,127,0,16,19,112,0,85,494
SC,"6,826",7,3,6,22,0,"3,884",32,0,0,0,"10,780"
SD,0,0,0,0,0,0,0,215,0,0,75,290
TN,241,2,0,0,0,0,0,0,0,0,0,243
TX,"2,645",56,184,245,170,0,"3,002",770,201,"1,462",692,"9,427"
UT,0,0,0,0,0,0,0,0,5,63,39,107
VA,677,1,9,3,18,0,9,0,258,19,2,996
VT,1,0,0,0,0,0,0,0,0,0,0,1
WA,599,0,158,163,22,0,"4,621",65,4,760,0,"6,392"
WI,"1,575",20,"3,885",93,124,0,"1,512",295,618,361,20,"8,503"
WV,0,0,0,0,0,0,0,0,0,0,0,0
WY,60,0,0,0,0,0,0,2,0,0,77,139
"REPORTTOTAL","29,221","2,136","9,368","8,489","11,416",0,"54,435","8,064","7,634","17,219","2,027","150,009"
