"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES","OTHERFARMANIMALS",PIG,RABBITS,SHEEP,Total
NE,940,0,79,0,255,55,0,1,5,0,"1,335"
NH,86,0,0,0,152,0,45,0,0,0,283
NJ,"2,291",139,"3,679","35,860","25,468","2,450",45,144,"4,218",0,"74,294"
NM,272,10,232,21,0,41,0,10,3,0,589
NV,19,6,58,22,0,0,134,0,4,2,245
NY,"6,697",248,931,935,985,989,427,1,445,6,"11,664"
OH,550,947,"3,465",46,14,914,58,110,"2,708",5,"8,817"
OK,244,82,258,"2,248",8,0,494,16,34,12,"3,396"
OR,"1,040",22,23,0,0,11,143,10,10,26,"1,285"
PA,"2,224",748,"1,374",964,657,559,746,22,"8,559",553,"16,406"
PR,0,0,0,0,0,"2,637",0,0,0,0,"2,637"
RI,22,48,46,0,8,9,64,0,114,0,311
SC,"2,335",21,40,159,2,70,80,0,5,0,"2,712"
SD,316,11,8,4,3,0,48,0,6,0,396
TN,167,225,370,4,40,0,31,36,18,0,891
TX,"7,690",366,847,"1,860",781,"2,794",987,117,"3,396",120,"18,958"
UT,37,201,371,6,215,0,221,20,182,97,"1,350"
VA,"5,942",0,20,422,151,2,40,428,93,95,"7,193"
VT,48,0,0,27,0,0,0,0,0,190,265
WA,"1,520",93,311,"3,610",2,"2,579",143,29,522,131,"8,940"
WI,"1,327",162,"3,420","1,255",881,"4,361",182,254,"12,644",53,"24,539"
WV,842,6,23,4,6,0,0,0,11,0,892
WY,98,0,0,4,5,0,18,3,0,48,176
"REPORTTOTAL","86,618","12,586","40,071","120,519","45,863","32,962","16,037","10,194","77,838","3,284","445,972"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES","OTHERFARMANIMALS",PIG,RABBITS,SHEEP,Total
AK,102,0,0,0,0,0,0,0,0,0,102
AL,181,108,601,160,0,143,229,399,517,19,"2,357"
AR,39,11,67,0,0,54,62,683,253,0,"1,169"
AZ,135,71,131,4,160,39,43,393,99,130,"1,205"
CA,"5,068",483,"1,387","2,758","1,606","2,447",687,"6,360","8,938",975,"30,709"
CO,409,112,146,318,257,0,242,600,535,270,"2,889"
CT,603,1,89,71,0,69,0,173,20,1,"1,027"
DC,"2,227",5,36,11,9,29,0,301,292,0,"2,910"
DE,0,16,8,14,0,0,6,0,729,1,774
FL,788,258,508,214,190,222,74,"1,057",249,141,"3,701"
GA,"1,156",300,364,668,940,"2,037",13,465,464,89,"6,496"
HI,0,60,106,0,0,0,0,20,8,0,194
IA,113,185,466,239,108,3,211,836,870,32,"3,063"
ID,164,25,25,0,0,0,32,0,0,0,246
IL,"1,218",271,"1,688",364,"1,893",433,129,596,"1,419",139,"8,150"
IN,"1,476",70,274,337,31,112,104,254,835,268,"3,761"
KS,170,65,151,503,21,44,63,613,133,0,"1,763"
KY,472,160,192,30,38,115,80,212,196,36,"1,531"
LA,64,150,519,8,11,"1,091",150,122,143,0,"2,258"
MA,"1,385",56,486,"4,653",916,"2,367",31,"2,168","4,759",338,"17,159"
MD,"3,258",23,314,"4,550","1,161","4,114",27,"1,342","1,809",182,"16,780"
ME,0,317,32,0,0,0,0,20,0,0,369
MI,524,236,"2,261",865,125,"1,494",23,"1,006","2,557",221,"9,312"
MN,44,690,"1,012",501,522,104,288,"2,081","1,461",382,"7,085"
MO,794,337,766,"6,050","1,449",58,31,986,"2,944",67,"13,482"
MS,232,14,35,18,7,92,51,303,145,4,901
MT,0,0,0,0,0,14,28,0,0,0,42
NC,"1,825",794,"1,147",254,840,"1,038","4,884","1,430","2,092",121,"14,425"
ND,0,57,50,0,0,0,13,19,0,2,141
NE,121,65,71,23,296,39,51,287,107,0,"1,060"
NH,45,0,2,0,0,2,2,2,18,3,74
NJ,792,365,"1,813","3,087","3,631","1,280",5,686,"6,491",7,"18,157"
NM,191,0,43,2,83,307,0,50,2,0,678
NV,60,47,369,2,0,0,88,92,2,0,660
OH,"2,530",366,"1,030","1,009",535,284,198,"1,807",856,126,"8,741"
OK,282,19,149,94,0,144,119,4,69,79,959
OR,163,12,28,309,14,"2,372",87,113,282,244,"3,624"
PA,159,432,506,717,297,700,111,698,"4,286",239,"8,145"
PR,0,0,0,0,0,118,0,21,18,0,157
RI,66,2,5,0,93,29,0,159,220,0,574
SC,227,148,187,0,0,357,0,222,31,20,"1,192"
SD,345,0,0,0,0,0,20,10,5,70,450
TN,828,71,273,107,363,186,153,"1,201",138,3,"3,323"
TX,"3,202",90,360,163,"1,488","1,444","1,532","2,850","4,455",271,"15,855"
UT,132,73,263,5,193,40,94,103,829,146,"1,878"
VA,33,66,197,54,0,74,106,"2,114",322,56,"3,022"
VT,0,0,0,0,0,0,0,0,0,"1,753","1,753"
WA,"4,529",65,410,53,539,766,153,576,274,171,"7,536"
WI,627,242,"1,413","1,155",973,"2,941",75,809,"2,328",232,"10,795"
WV,422,37,39,0,0,0,20,2,18,92,630
WY,65,23,43,0,0,0,3,0,4,32,170
"REPORTTOTAL","39,652","7,288","20,668","29,927","20,000","27,972","10,416","35,422","53,998","7,275","252,618"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES","OTHERFARMANIMALS",PIG,RABBITS,SHEEP,Total
AK,0,0,0,0,0,0,0,0,0,0,0
AL,27,0,0,12,0,0,2,9,224,0,274
AR,0,0,0,0,0,0,0,0,0,0,0
AZ,1,0,0,0,0,0,0,0,0,0,1
CA,"1,174",0,0,272,277,18,"1,101",3,667,0,"3,512"
CO,248,0,0,352,353,0,5,0,0,28,986
CT,15,0,25,57,744,35,0,0,0,0,876
DC,0,0,0,378,0,0,0,0,0,0,378
DE,0,0,0,0,0,0,0,0,0,0,0
FL,83,0,6,204,0,0,22,33,0,0,348
GA,95,5,7,47,"1,900",4,0,78,"3,245",0,"5,381"
HI,0,0,0,0,42,0,0,0,0,0,42
IA,0,0,0,82,"5,005",0,0,0,0,14,"5,101"
ID,0,0,0,0,0,0,0,0,0,0,0
IL,214,7,0,0,9,0,0,299,158,0,687
IN,25,0,0,38,"1,894",0,0,0,0,0,"1,957"
KS,0,2,0,0,0,0,0,0,0,0,2
KY,23,0,0,0,0,0,0,0,0,0,23
LA,0,0,0,34,0,0,0,0,40,3,77
MA,0,0,0,"2,607",173,16,4,21,199,0,"3,020"
MD,99,0,0,"1,937",693,601,74,198,291,0,"3,893"
ME,0,0,0,0,0,0,0,0,0,0,0
MI,3,8,0,"10,443",0,12,0,7,10,66,"10,549"
MN,11,0,0,78,0,0,0,22,5,0,116
MO,30,36,95,254,"14,017",0,0,0,4,0,"14,436"
MS,1,0,0,0,0,0,0,0,0,0,1
MT,0,0,0,0,0,0,0,0,0,0,0
NC,32,0,0,495,0,10,0,0,0,0,537
ND,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,180,"3,250","5,413",15,104,0,729,0,"9,691"
NM,224,0,0,149,0,113,0,14,0,0,500
NV,0,0,0,0,0,0,0,0,0,0,0
NY,345,0,49,759,63,8,3,11,26,3,"1,267"
OH,60,0,0,9,0,0,0,12,0,0,81
OK,0,0,0,0,0,1,0,0,373,0,374
OR,0,0,0,0,0,0,0,0,18,0,18
PA,145,0,0,115,0,32,0,0,432,0,724
PR,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,51,0,51
SD,243,0,0,25,0,0,0,100,0,0,368
TN,315,0,0,57,0,0,0,18,0,0,390
TX,282,0,0,704,805,151,0,14,40,5,"2,001"
UT,0,0,0,60,"1,169",0,0,0,0,0,"1,229"
VA,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0
WA,15,0,0,0,0,0,18,22,0,0,55
WI,86,0,0,0,0,0,0,0,0,0,86
WV,0,0,0,0,0,0,0,0,0,0,0
WY,0,0,0,0,0,0,0,0,0,0,0
"REPORTTOTAL","3,796",58,362,"22,418","32,557","1,016","1,333",861,"6,512",119,"69,032"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES","OTHERFARMANIMALS",PIG,RABBITS,SHEEP,Total
AK,189,0,0,0,0,0,10,0,0,0,199
AL,642,261,"1,285",246,0,346,892,469,955,54,"5,150"
AR,41,147,721,24,53,154,66,691,"1,053",0,"2,950"
AZ,"3,709",570,"1,638",90,184,42,316,402,207,174,"7,332"
CA,"11,785","2,496","6,199","8,697","2,527","3,703","7,729","6,610","25,151","1,153","76,050"
CO,"1,735",507,875,"2,851","1,497",1,448,759,"1,175",303,"10,151"
CT,"1,058",1,264,155,815,338,0,173,69,1,"2,874"
DC,"12,209",9,36,474,447,151,0,301,292,0,"13,919"
DE,382,86,97,17,0,0,473,0,"6,722",19,"7,796"
FL,"2,817",337,809,478,199,"1,241",490,"1,092",284,141,"7,888"
GA,"3,263",718,"2,096","1,121","4,750","2,408",68,840,"4,748",89,"20,101"
HI,5,87,188,0,42,0,0,20,8,35,385
IA,589,324,711,472,"7,610",8,414,"1,220","1,161",443,"12,952"
ID,204,73,104,16,0,0,96,2,42,0,537
IL,"4,005",812,"3,304","2,507","1,910",877,626,"1,525","2,298",504,"18,368"
IN,"4,810",345,894,388,"5,021",334,190,289,"1,148",392,"13,811"
KS,189,716,"1,592",723,84,162,592,"1,191",455,21,"5,725"
KY,642,187,341,32,68,115,306,213,201,41,"2,146"
LA,64,182,604,42,11,"1,793",265,122,196,6,"3,285"
MA,"4,328",62,"1,778","20,079","5,249","7,270",169,"5,772","10,071",453,"55,231"
MD,"13,501",58,"1,002","9,587","3,522","8,221",349,"1,724","3,993",202,"42,159"
ME,359,408,55,0,0,0,398,20,105,2,"1,347"
MI,"1,850",474,"5,632","19,846",154,"3,699",689,"2,100","7,330",558,"42,332"
MN,399,"2,288","2,538","26,924",604,114,588,"2,314","5,417",521,"41,707"
MO,"2,360","1,585","2,366","9,354","15,881",96,105,"2,110","3,810",77,"37,744"
MS,242,17,54,22,7,92,80,304,145,4,967
MT,36,2,0,0,110,14,60,0,1,0,223
NC,"5,026","1,127","2,026","8,796",876,"1,127","5,109","1,796","4,124",193,"30,200"
ND,0,305,301,7,0,0,312,43,10,89,"1,067"
NE,"1,061",65,150,23,551,94,51,288,112,0,"2,395"
NH,131,0,2,0,152,2,47,2,18,3,357
NJ,"3,083",504,"5,672","42,197","34,512","3,745",154,830,"11,438",7,"102,142"
NM,687,10,275,172,83,461,0,74,5,0,"1,767"
NV,79,53,427,24,0,0,222,92,6,2,905
NY,"9,428",538,"1,586","2,251","2,259","1,767",528,"1,189","2,247",322,"22,115"
OH,"3,140","1,313","4,495","1,064",549,"1,198",256,"1,929","3,564",131,"17,639"
OK,526,101,407,"2,342",8,145,613,20,476,91,"4,729"
OR,"1,203",34,51,309,14,"2,383",230,123,310,270,"4,927"
PA,"2,528","1,180","1,880","1,796",954,"1,291",857,720,"13,277",792,"25,275"
PR,0,0,0,0,0,"2,755",0,21,18,0,"2,794"
RI,88,50,51,0,101,38,64,159,334,0,885
SC,"2,562",169,227,159,2,427,80,222,87,20,"3,955"
SD,904,11,8,29,3,0,68,110,11,70,"1,214"
TN,"1,310",296,643,168,403,186,184,"1,255",156,3,"4,604"
TX,"11,174",456,"1,207","2,727","3,074","4,389","2,519","2,981","7,891",396,"36,814"
UT,169,274,634,71,"1,577",40,315,123,"1,011",243,"4,457"
VA,"5,975",66,217,476,151,76,146,"2,542",415,151,"10,215"
VT,48,0,0,27,0,0,0,0,0,"1,943","2,018"
WA,"6,064",158,721,"3,663",541,"3,345",314,627,796,302,"16,531"
WI,"2,040",404,"4,833","2,410","1,854","7,302",257,"1,063","14,972",285,"35,420"
WV,"1,264",43,62,4,6,0,20,2,29,92,"1,522"
WY,163,23,43,4,5,0,21,3,4,80,346
"REPORTTOTAL","130,066","19,932","61,101","172,864","98,420","61,950","27,786","46,477","138,348","10,678","767,622"
