"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
NM,203,7,19,0,80,287,0,0,0,0,596,
NV,0,0,0,0,0,0,0,0,0,0,0,
NY,980,11,47,52,113,61,14,67,0,42,"1,387",
OH,457,160,125,"1,426",16,325,37,391,11,47,"2,995",
OK,207,0,121,0,0,463,0,0,0,55,846,
OR,462,0,0,0,0,"1,701",0,0,0,0,"2,163",
PA,"1,380",107,267,202,426,104,76,"1,511",194,381,"4,648",
PR,0,0,0,0,0,0,0,0,0,0,0,
RI,76,0,0,0,24,0,6,55,0,0,161,
SC,"5,308",1,4,2,39,0,0,0,0,0,"5,354",
SD,0,0,0,0,0,2,0,0,195,100,297,
TN,230,24,5,0,687,0,0,0,2,1,949,
TX,"12,630",29,11,83,178,"3,784",311,266,406,181,"17,879",
UT,0,0,0,0,0,0,0,0,1,0,1,
VA,183,2,12,0,9,8,213,27,0,0,454,
VT,0,0,0,0,0,0,0,0,0,0,0,
WA,412,0,132,72,50,"6,583",0,720,3,54,"8,026",
WI,"1,372",4,"3,255",60,250,"1,276",77,239,10,45,"6,588",
WV,0,0,0,0,0,0,0,0,0,0,0,
WY,52,0,0,0,0,0,0,0,332,224,608,
"REPORTTOTAL","34,276","1,594","6,305","20,614","6,829","43,149","5,895","20,423","1,889","6,841","147,815",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,157,0,0,0,0,0,0,0,0,0,157,
AL,"1,694",19,784,71,17,148,23,441,11,344,"3,552",
AR,7,79,557,10,60,100,12,"1,163",0,2,"1,990",
AZ,"6,311",297,"1,382",183,20,1,20,178,5,250,"8,647",
CA,"17,123","1,162","2,690","8,942","1,289",424,385,"21,664",260,"11,607","65,546",
CO,805,117,444,"1,025",492,0,65,248,2,81,"3,279",
CT,588,0,159,92,134,229,0,163,0,0,"1,365",
DC,92,4,0,60,359,49,0,0,0,11,575,
DE,345,0,0,18,0,0,0,"9,091",53,713,"10,220",
FL,"2,524",133,676,6,52,420,39,43,3,62,"3,958",
GA,"3,840",548,"1,489",340,"6,143",754,2,"1,311",4,374,"14,805",
HI,6,31,54,0,0,0,0,0,0,0,91,
IA,411,226,224,230,"8,365",6,651,45,248,140,"10,546",
ID,204,2,1,12,0,0,0,41,15,34,309,
IL,"2,457",781,"1,681","1,767",1,274,490,"1,636",331,348,"9,766",
IN,"2,192",254,608,3,464,98,274,171,26,67,"4,157",
KS,"1,297",786,"1,682",160,2,91,46,77,59,150,"4,350",
KY,125,33,84,0,2,0,1,11,0,39,295,
LA,0,23,63,0,2,"1,295",0,74,2,79,"1,538",
MA,"15,647",4,"1,236","14,775","3,494","5,438","3,424","9,636",136,215,"54,005",
MD,"3,105",22,583,"2,465","1,750","4,990",124,"1,172",128,60,"14,399",
ME,461,0,2,0,0,0,0,123,5,443,"1,034",
MI,"2,451",275,"3,511","6,817",612,"2,502","1,143","4,305",140,270,"22,026",
MN,"1,188","1,731","1,877","26,282",66,41,305,"3,436",420,"1,074","36,420",
MO,"1,537","1,456","1,399","7,517",299,34,600,946,9,76,"13,873",
MS,12,8,0,155,0,15,0,66,0,9,265,
MT,4,0,0,0,173,0,0,0,0,35,212,
NC,"1,489",415,"1,118","8,157",2,76,639,"2,521",85,"4,977","19,479",
ND,252,62,24,5,5,0,0,4,136,0,488,
NE,948,24,28,4,335,45,1,6,10,0,"1,401",
NH,0,0,0,0,63,0,0,6,0,0,69,
NJ,"1,086",438,"3,393","9,268","20,178","2,464",287,"3,691",0,0,"40,805",
NM,115,31,114,63,31,67,3,5,0,0,429,
NV,"1,937",16,48,8,0,0,6,11,1,139,"2,166",
NY,"2,009",802,"1,618","4,433","8,212","1,287",36,513,119,430,"19,459",
OH,182,985,"3,479","26,780",613,"1,410",182,"8,461",6,0,"42,098",
OK,798,63,478,528,7,0,22,12,17,221,"2,146",
OR,"2,403",64,135,34,0,"1,396",8,2,73,35,"4,150",
PA,"3,267","1,016","1,871","1,089","1,294",495,519,"9,245",375,"1,106","20,277",
PR,0,0,0,0,0,"4,076",0,0,0,0,"4,076",
RI,55,37,75,2,26,6,3,33,1,13,251,
SC,"2,286",62,86,402,7,19,0,101,0,50,"3,013",
SD,267,12,8,6,22,0,0,5,1,74,395,
TN,"2,177",224,271,0,30,0,17,45,0,13,"2,777",
TX,"7,213",393,"1,019","2,862",697,"1,754",128,"5,303",72,"1,315","20,756",
UT,609,361,483,"1,038",492,0,8,597,32,238,"3,858",
VA,"1,610",13,88,95,196,0,182,146,92,58,"2,480",
VT,209,0,0,108,0,0,0,4,685,2,"1,008",
WA,"3,311",347,658,"3,020",7,"1,711",16,723,25,209,"10,027",
WI,"2,282",174,"5,824","2,197","1,389","4,859",235,"11,783",46,366,"29,155",
WV,0,23,25,4,6,0,0,6,0,0,64,
WY,95,0,0,4,3,0,4,7,109,144,366,
"REPORTTOTAL","99,183","13,553","42,029","131,037","57,411","36,574","9,900","99,271","3,742","25,873","518,573",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,229,0,0,0,0,0,0,0,0,0,229,
AL,272,127,490,71,0,47,457,448,33,83,"2,028",
AR,11,23,71,152,0,11,544,253,0,112,"1,177",
AZ,104,183,259,39,27,44,424,120,137,12,"1,349",
CA,"4,551",843,"1,654","3,317","2,480","3,083","5,011","10,965","1,200",990,"34,094",
CO,492,244,232,"1,050",383,0,835,355,432,242,"4,265",
CT,280,0,130,30,20,79,436,81,3,0,"1,059",
DC,258,0,35,26,158,72,447,91,34,0,"1,121",
DE,0,0,0,20,0,0,0,"1,192",0,12,"1,224",
FL,"1,074",370,361,186,167,138,"2,196",285,240,40,"5,057",
GA,"2,074",242,248,"1,075","4,029","2,140",988,527,27,58,"11,408",
HI,0,11,33,0,0,0,104,0,0,0,148,
IA,127,473,871,465,691,13,741,"3,050",96,62,"6,589",
ID,180,61,86,0,0,0,2,7,9,46,391,
IL,"1,083",316,"1,526",921,"2,356",443,836,"1,118",52,318,"8,969",
IN,284,97,343,72,209,18,748,667,132,19,"2,589",
KS,178,68,404,833,64,51,276,50,0,118,"2,042",
KY,328,160,296,22,87,79,245,167,23,40,"1,447",
LA,61,127,482,6,38,"1,646",45,338,6,187,"2,936",
MA,"2,467",63,475,"6,368","1,527","1,948","2,572","5,772",279,78,"21,549",
MD,"3,109",76,379,"5,675","1,784","3,471","1,409","2,094",141,74,"18,212",
ME,6,246,81,0,0,0,15,8,0,5,361,
MI,"1,830",161,823,841,298,608,758,"2,206",330,16,"7,871",
MN,144,"1,470","2,194",608,325,215,"3,270","4,056",656,288,"13,226",
MO,494,548,976,"2,979","1,982",111,"1,377","2,598",98,19,"11,182",
MS,156,11,81,142,17,36,356,297,4,49,"1,149",
MT,0,0,0,0,0,7,0,6,5,0,18,
NC,"1,201",697,"1,045",340,811,"1,334","1,268",496,148,93,"7,433",
ND,0,149,187,0,0,0,28,0,192,0,556,
NE,555,52,60,4,604,55,228,149,7,61,"1,775",
NH,827,0,8,0,584,6,40,9,3,0,"1,477",
NJ,548,86,"1,484","3,439","5,130","1,116",997,"4,537",11,0,"17,348",
NM,19,0,228,32,0,256,20,66,0,0,621,
NV,298,158,430,6,96,0,131,0,0,164,"1,283",
NY,"1,595",611,"1,685",936,"2,234",650,"1,373","2,304",200,170,"11,758",
OH,"2,245",817,"1,877","1,356",481,458,"2,750","2,499",192,245,"12,920",
OK,653,96,636,100,6,117,7,114,82,400,"2,211",
OR,146,397,58,9,6,"1,938",340,263,174,9,"3,340",
PA,"1,011",684,"1,438","1,292",153,"1,051","1,808","6,989",323,151,"14,900",
PR,0,0,0,0,0,324,27,10,0,0,361,
RI,163,0,11,2,193,32,71,407,61,0,940,
SC,4,141,223,0,0,227,348,61,7,0,"1,011",
SD,192,0,0,0,11,5,2,3,24,46,283,
TN,670,116,343,163,436,255,"1,406",393,0,91,"3,873",
TX,"2,034",124,486,"1,911","1,925","1,252","3,167","6,157",583,"2,317","19,956",
UT,0,111,344,49,122,10,229,649,355,80,"1,949",
VA,263,66,168,395,34,79,"3,182",275,36,85,"4,583",
VT,0,8,33,0,0,0,60,0,925,0,"1,026",
WA,804,114,497,158,231,793,"1,176",358,6,249,"4,386",
WI,781,190,"1,372",684,"2,922","1,833",775,"2,482",100,67,"11,206",
WV,0,36,22,0,0,0,2,73,136,0,269,
WY,5,25,56,0,0,0,2,0,17,3,108,
"REPORTTOTAL","33,806","10,598","25,221","35,774","32,621","26,051","43,529","65,045","7,519","7,099","287,263",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,0,0,0,0,0,0,0,0,0,0,0,
AL,25,1,0,78,0,20,0,54,0,0,178,
AR,0,0,0,0,0,0,0,0,0,0,0,
AZ,17,0,0,0,0,0,0,24,0,0,41,
CA,"1,443",0,6,201,651,72,0,739,0,0,"3,112",
CO,83,1,5,323,419,0,0,0,27,0,858,
CT,1,0,2,0,856,0,0,12,0,0,871,
DC,162,0,0,498,0,0,0,0,0,0,660,
DE,0,0,0,0,0,0,0,0,0,0,0,
FL,37,0,5,14,0,10,0,0,0,0,66,
GA,422,1,21,98,"2,281",15,2,"2,276",0,0,"5,116",
HI,0,0,0,0,0,0,0,0,0,0,0,
IA,0,0,2,32,"8,095",0,0,0,0,0,"8,129",
ID,0,0,0,0,0,0,0,0,77,0,77,
IL,132,4,0,36,0,0,119,85,0,0,376,
IN,24,0,0,0,80,0,0,0,0,0,104,
KS,0,0,3,40,0,20,0,1,0,0,64,
KY,65,0,0,0,0,0,0,0,0,0,65,
LA,0,0,0,0,0,6,0,86,0,0,92,
MA,0,0,0,99,332,9,97,88,0,0,625,
MD,171,0,0,"5,656","1,063",492,95,272,1,0,"7,750",
ME,0,0,0,0,0,0,0,0,0,0,0,
MI,42,0,1,"8,752",0,82,12,7,142,0,"9,038",
MN,10,0,1,406,6,0,7,69,0,0,499,
MO,0,14,132,0,"23,446",0,0,0,0,0,"23,592",
MS,0,0,0,0,0,0,0,32,0,0,32,
MT,0,0,0,0,0,0,0,0,0,0,0,
NC,18,0,0,490,0,0,0,0,0,0,508,
ND,0,0,0,0,0,0,0,0,0,0,0,
NE,0,0,0,0,0,0,0,21,0,0,21,
NH,0,0,0,0,0,0,0,0,0,0,0,
NJ,64,2,160,"1,650","4,827",49,18,11,0,0,"6,781",
NM,133,0,12,209,0,227,47,0,0,0,628,
NV,0,0,0,0,0,0,0,0,0,0,0,
NY,131,46,172,"1,118","1,876",57,0,98,0,0,"3,498",
OH,18,0,0,"3,246",0,176,86,559,24,0,"4,109",
OK,108,0,0,0,0,0,62,400,0,61,631,
OR,66,0,0,0,0,0,0,0,0,0,66,
PA,378,1,0,131,75,65,"1,579",382,0,0,"2,611",
PR,0,0,0,0,0,22,0,0,0,0,22,
RI,0,0,0,0,0,0,0,0,0,0,0,
SC,10,0,0,0,132,0,0,0,0,0,142,
SD,10,0,0,0,0,0,56,36,0,0,102,
TN,458,0,0,2,0,0,29,0,0,0,489,
TX,152,0,0,745,765,160,91,27,0,25,"1,965",
UT,24,0,0,184,"1,854",0,0,0,0,0,"2,062",
VA,0,0,0,0,60,0,0,0,3,0,63,
VT,5,0,0,26,0,0,0,0,0,0,31,
WA,6,0,0,36,0,0,0,0,0,0,42,
WI,159,0,0,0,0,0,0,0,0,0,159,
WV,0,0,0,0,0,0,0,50,0,0,50,
WY,0,0,0,0,0,0,0,0,0,0,0,
"REPORTTOTAL","4,374",70,522,"24,070","46,818","1,482","2,300","5,329",274,86,"85,325",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,386,0,0,0,0,0,0,0,0,0,386,
AL,"1,991",147,"1,274",220,17,215,480,943,44,427,"5,758",
AR,18,102,628,162,60,111,556,"1,416",0,114,"3,167",
AZ,"6,432",480,"1,641",222,47,45,444,322,142,262,"10,037",
CA,"23,117","2,005","4,350","12,460","4,420","3,579","5,396","33,368","1,460","12,597","102,752",
CO,"1,380",362,681,"2,398","1,294",0,900,603,461,323,"8,402",
CT,869,0,291,122,"1,010",308,436,256,3,0,"3,295",
DC,512,4,35,584,517,121,447,91,34,11,"2,356",
DE,345,0,0,38,0,0,0,"10,283",53,725,"11,444",
FL,"3,635",503,"1,042",206,219,568,"2,235",328,243,102,"9,081",
GA,"6,336",791,"1,758","1,513","12,453","2,909",992,"4,114",31,432,"31,329",
HI,6,42,87,0,0,0,104,0,0,0,239,
IA,538,699,"1,097",727,"17,151",19,"1,392","3,095",344,202,"25,264",
ID,384,63,87,12,0,0,2,48,101,80,777,
IL,"3,672","1,101","3,207","2,724","2,357",717,"1,445","2,839",383,666,"19,111",
IN,"2,500",351,951,75,753,116,"1,022",838,158,86,"6,850",
KS,"1,475",854,"2,089","1,033",66,162,322,128,59,268,"6,456",
KY,518,193,380,22,89,79,246,178,23,79,"1,807",
LA,61,150,545,6,40,"2,947",45,498,8,266,"4,566",
MA,"18,114",67,"1,711","21,242","5,353","7,395","6,093","15,496",415,293,"76,179",
MD,"6,385",98,962,"13,796","4,597","8,953","1,628","3,538",270,134,"40,361",
ME,467,246,83,0,0,0,15,131,5,448,"1,395",
MI,"4,323",436,"4,335","16,410",910,"3,192","1,913","6,518",612,286,"38,935",
MN,"1,342","3,201","4,072","27,296",397,256,"3,582","7,561","1,076","1,362","50,145",
MO,"2,031","2,018","2,507","10,496","25,727",145,"1,977","3,544",107,95,"48,647",
MS,168,19,81,297,17,51,356,395,4,58,"1,446",
MT,4,0,0,0,173,7,0,6,5,35,230,
NC,"2,708","1,112","2,163","8,987",813,"1,410","1,907","3,017",233,"5,070","27,420",
ND,252,211,211,5,5,0,28,4,328,0,"1,044",
NE,"1,503",76,88,8,939,100,229,176,17,61,"3,197",
NH,827,0,8,0,647,6,40,15,3,0,"1,546",
NJ,"1,698",526,"5,037","14,357","30,135","3,629","1,302","8,239",11,0,"64,934",
NM,267,31,354,304,31,550,70,71,0,0,"1,678",
NV,"2,235",174,478,14,96,0,137,11,1,303,"3,449",
NY,"3,735","1,459","3,475","6,487","12,322","1,994","1,409","2,915",319,600,"34,715",
OH,"2,445","1,802","5,356","31,382","1,094","2,044","3,018","11,519",222,245,"59,127",
OK,"1,559",159,"1,114",628,13,117,91,526,99,682,"4,988",
OR,"2,615",461,193,43,6,"3,334",348,265,247,44,"7,556",
PA,"4,656","1,701","3,309","2,512","1,522","1,611","3,906","16,616",698,"1,257","37,788",
PR,0,0,0,0,0,"4,422",27,10,0,0,"4,459",
RI,218,37,86,4,219,38,74,440,62,13,"1,191",
SC,"2,300",203,309,402,139,246,348,162,7,50,"4,166",
SD,469,12,8,6,33,5,58,44,25,120,780,
TN,"3,305",340,614,165,466,255,"1,452",438,0,104,"7,139",
TX,"9,399",517,"1,505","5,518","3,387","3,166","3,386","11,487",655,"3,657","42,677",
UT,633,472,827,"1,271","2,468",10,237,"1,246",387,318,"7,869",
VA,"1,873",79,256,490,290,79,"3,364",421,131,143,"7,126",
VT,214,8,33,134,0,0,60,4,"1,610",2,"2,065",
WA,"4,121",461,"1,155","3,214",238,"2,504","1,192","1,081",31,458,"14,455",
WI,"3,222",364,"7,196","2,881","4,311","6,692","1,010","14,265",146,433,"40,520",
WV,0,59,47,4,6,0,2,129,136,0,383,
WY,100,25,56,4,3,0,6,7,126,147,474,
"REPORTTOTAL","137,363","24,221","67,772","190,881","136,850","64,107","55,729","169,645","11,535","33,058","891,161",
