"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,139,0,0,0,0,0,0,0,0,0,139,
AL,39,119,173,7,0,86,610,221,39,445,"1,739",
AR,0,76,64,27,0,63,0,131,0,0,361,
AZ,150,9,3,63,0,23,4,144,6,0,402,
CA,"1,506",307,145,265,251,"4,040",66,"3,214",129,"3,763","13,686",
CO,400,2,31,23,33,0,3,22,35,0,549,
CT,343,1,6,20,1,42,2,8,0,0,423,
DC,485,31,0,17,0,495,0,0,0,3,"1,031",
DE,0,0,0,0,0,0,0,"3,965",0,74,"4,039",
FL,543,3,1,0,94,"5,053",22,0,18,87,"5,821",
GA,"1,547",11,0,15,563,"1,364",6,17,0,12,"3,535",
HI,0,0,0,0,0,0,0,0,0,0,0,
IA,336,0,18,172,59,0,"2,730",2,0,5,"3,322",
ID,4,0,0,0,0,0,0,0,0,0,4,
IL,349,0,53,58,0,152,11,163,14,60,860,
IN,175,285,464,2,298,3,168,9,0,0,"1,404",
KS,17,18,127,26,7,0,0,5,0,0,200,
KY,267,14,0,12,0,19,185,26,56,161,740,
LA,52,42,0,0,0,"9,977",0,5,0,92,"10,168",
MA,599,1,78,121,732,"1,321",540,"8,154",17,622,"12,185",
MD,"2,541",0,0,428,"1,268","4,867",10,47,10,64,"9,235",
ME,0,0,0,0,0,0,0,39,0,62,101,
MI,531,69,301,"15,479",274,410,18,39,11,3,"17,135",
MN,7,26,79,937,56,22,241,214,207,234,"2,023",
MO,23,155,245,77,33,9,474,121,27,0,"1,164",
MS,60,0,0,4,0,5,4,0,0,24,97,
MT,24,0,0,0,67,0,0,0,39,0,130,
NC,167,47,40,793,0,2,54,28,4,0,"1,135",
ND,0,0,0,0,0,0,0,0,123,0,123,
NE,19,0,0,0,375,0,1,17,0,0,412,
NH,0,0,0,0,0,0,0,0,0,0,0,
NJ,1,33,479,171,846,602,12,556,0,0,"2,700",
