"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total
NY,"3,736",250,909,"1,027",649,209,3,476,206,482,"7,947"
OH,718,"1,404","3,830","30,400",234,"1,872",149,"8,901",5,25,"47,538"
OK,"1,614",611,417,"1,629",12,0,152,28,3,408,"4,874"
OR,"3,681",27,23,0,2,140,4,0,87,294,"4,258"
PA,"3,197",908,"1,377",920,263,490,145,"7,910",215,664,"16,089"
PR,0,0,0,0,0,0,0,0,0,0,0
RI,74,28,45,0,36,7,7,283,0,52,532
SC,"1,820",54,62,204,6,22,0,85,0,27,"2,280"
SD,491,12,14,5,2,0,0,4,0,40,568
TN,"1,415",53,145,0,0,0,0,37,2,5,"1,657"
TX,"7,644",438,"1,259","1,658",752,"2,216",573,"4,804",140,"1,429","20,913"
UT,"1,485",346,503,3,236,0,84,366,65,83,"3,171"
VA,960,3,39,278,226,0,375,119,4,92,"2,096"
VT,536,0,0,123,0,0,0,4,81,87,831
WA,"17,398",70,272,"2,757",32,"2,275",15,"1,219",18,212,"24,268"
WI,"2,426",223,"3,817","2,023","1,239","5,196",297,"15,512",68,224,"31,025"
WV,0,37,24,5,6,0,0,4,0,0,76
WY,58,0,1,4,4,0,4,0,163,153,387
"REPORTTOTAL","106,392","13,566","37,452","119,986","55,810","30,818","7,894","86,287","3,043","18,394","479,642"
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total
AK,101,0,0,0,0,0,0,0,0,0,101
AL,336,120,656,80,271,43,393,446,19,76,"2,440"
AR,11,11,43,78,0,45,963,93,0,129,"1,373"
AZ,624,77,159,15,45,38,350,158,165,29,"1,660"
CA,"6,520",318,"1,309","4,403","2,156","3,185","5,838","9,763",948,227,"34,667"
CO,426,222,277,"1,158",258,0,690,590,361,81,"4,063"
CT,669,0,141,101,21,78,265,70,0,0,"1,345"
DC,128,16,4,11,81,33,316,268,28,0,885
DE,0,11,8,45,0,0,0,"1,034",0,17,"1,115"
FL,"1,250",272,485,334,109,277,"1,459",163,159,43,"4,551"
GA,"1,256",147,219,567,"3,697","1,855",579,527,110,37,"8,994"
HI,0,38,36,0,0,0,0,0,0,0,74
IA,116,212,549,583,292,11,900,"1,876",121,102,"4,762"
ID,150,57,55,0,0,0,0,2,5,15,284
IL,405,336,"1,540",521,"1,952",556,824,"1,070",122,326,"7,652"
IN,333,53,319,188,54,158,405,376,378,21,"2,285"
KS,155,82,219,576,117,63,160,41,0,142,"1,555"
KY,324,102,214,56,86,83,163,189,7,48,"1,272"
LA,56,135,503,9,0,"1,375",57,279,6,195,"2,615"
MA,"1,746",68,308,"3,532",825,"1,912","1,925","4,457",256,51,"15,080"
MD,"3,514",5,296,"5,339","2,372","3,604","1,497","2,369",52,2,"19,050"
ME,0,125,37,0,0,0,11,0,0,3,176
MI,828,175,"2,022",731,181,"1,824","1,014","3,905",138,3,"10,821"
